Unnamed: 0,Player,Nation,Position,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals Made,Penalty Attempts,Yellow Cards,Red Cards,xG,npxG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Receives,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Non-Penalty Goals Per 90,Non-Penalty Goals + Assists Per 90,xG Per 90,xAG Per 90,xG + xAG Per 90,npxG Per 90,npxG + xAG Per 90,name_clean,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url
1223,Gustav Isaksen,DEN,AT,23,37,29,"2,210",24.6,4,2,6,4,0,0,5,0,5.2,5.2,2.1,7.3,95,46,249,0.16,0.08,0.24,0.16,0.24,0.21,0.09,0.3,0.21,0.3,gustav isaksen,Attack,left,181.0,IT1,20000000.0,20000000.0,https://img.a.transfermarkt.technology/portrait/header/462823-1695026324.jpg?lm=1,https://www.transfermarkt.co.uk/gustav-isaksen/profil/spieler/462823
1225,Boulaye Dia,SEN,"MT,AT",27,35,27,"2,177",24.2,9,3,12,9,0,0,2,0,7.1,7.1,4.2,11.3,23,51,114,0.37,0.12,0.5,0.37,0.5,0.29,0.17,0.47,0.29,0.47,boulaye dia,Attack,right,180.0,IT1,15000000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/626913-1730127040.jpg?lm=1,https://www.transfermarkt.co.uk/boulaye-dia/profil/spieler/626913
1227,Nuno Tavares,POR,DF,24,23,22,"1,686",18.7,0,8,8,0,0,0,4,1,1.1,1.1,4.8,5.9,98,111,100,0.0,0.43,0.43,0.0,0.43,0.06,0.26,0.32,0.06,0.32,nuno tavares,Defender,left,183.0,IT1,25000000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/535955-1730127360.jpg?lm=1,https://www.transfermarkt.co.uk/nuno-tavares/profil/spieler/535955
1228,Manuel Lazzari,ITA,DF,30,25,16,"1,406",15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.3,1.4,72,66,96,0.0,0.06,0.06,0.0,0.06,0.01,0.08,0.09,0.01,0.09,manuel lazzari,Midfield,right,174.0,IT1,4000000.0,23000000.0,https://img.a.transfermarkt.technology/portrait/header/331401-1707947147.jpg?lm=1,https://www.transfermarkt.co.uk/manuel-lazzari/profil/spieler/331401
1229,Fisayo Dele-Bashiru,NGA,"MT,AT",23,20,12,947,10.5,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,23,26,57,0.29,0.1,0.38,0.29,0.38,0.1,0.08,0.18,0.1,0.18,fisayo dele bashiru,Midfield,right,186.0,IT1,8000000.0,8000000.0,https://img.a.transfermarkt.technology/portrait/header/530742-1683029896.jpg?lm=1,https://www.transfermarkt.co.uk/fisayo-dele-bashiru/profil/spieler/530742
1230,Luca Pellegrini,ITA,DF,25,22,10,"1,067",11.9,0,4,4,0,0,0,5,0,0.7,0.7,1.8,2.4,21,72,61,0.0,0.34,0.34,0.0,0.34,0.06,0.15,0.2,0.06,0.2,luca pellegrini,Defender,left,178.0,IT1,2500000.0,15000000.0,https://img.a.transfermarkt.technology/portrait/header/346567-1663065246.jpg?lm=1,https://www.transfermarkt.co.uk/luca-pellegrini/profil/spieler/346567
1231,Christos Mandas,GRE,GB,22,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,christos mandas,Goalkeeper,right,189.0,IT1,5000000.0,5000000.0,https://img.a.transfermarkt.technology/portrait/header/481675-1724268727.jpg?lm=1,https://www.transfermarkt.co.uk/christos-mandas/profil/spieler/481675
1232,Matías Vecino,URU,MT,32,20,7,877,9.7,2,3,5,2,0,0,7,0,2.3,2.3,2.4,4.6,4,29,14,0.21,0.31,0.51,0.21,0.51,0.23,0.24,0.47,0.23,0.47,matias vecino,Midfield,right,187.0,IT1,2500000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/143812-1695026891.jpg?lm=1,https://www.transfermarkt.co.uk/matias-vecino/profil/spieler/143812
1233,Samuel Gigot,FRA,DF,30,15,7,683,7.6,2,0,2,2,0,0,2,0,1.3,1.3,0.0,1.3,7,12,5,0.26,0.0,0.26,0.26,0.26,0.17,0.0,0.17,0.17,0.17,samuel gigot,Defender,right,187.0,IT1,4000000.0,11000000.0,https://img.a.transfermarkt.technology/portrait/header/276896-1703066101.jpg?lm=1,https://www.transfermarkt.co.uk/samuel-gigot/profil/spieler/276896
1234,Patric,ESP,DF,31,10,5,607,6.7,1,0,1,1,0,0,2,0,1.1,1.1,0.0,1.1,4,30,5,0.15,0.0,0.15,0.15,0.15,0.16,0.0,0.16,0.16,0.16,patric,Defender,right,184.0,IT1,4000000.0,9000000.0,https://img.a.transfermarkt.technology/portrait/header/126729-1695026786.jpg?lm=1,https://www.transfermarkt.co.uk/patric/profil/spieler/126729
1235,Elseid Hysaj,ALB,DF,30,11,4,424,4.7,0,3,3,0,0,0,2,1,0.2,0.2,1.6,1.8,4,14,18,0.0,0.64,0.64,0.0,0.64,0.04,0.35,0.38,0.04,0.38,elseid hysaj,Defender,right,182.0,IT1,2000000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/200056-1661350737.jpg?lm=1,https://www.transfermarkt.co.uk/elseid-hysaj/profil/spieler/200056
1236,Nicolò Casale,ITA,DF,26,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,nicolo casale,Defender,right,191.0,IT1,7000000.0,22000000.0,https://img.a.transfermarkt.technology/portrait/header/389837-1695026993.jpg?lm=1,https://www.transfermarkt.co.uk/nicolo-casale/profil/spieler/389837
1237,Reda Belahyane,MAR,MT,20,6,1,198,2.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,reda belahyane,Midfield,right,173.0,IT1,10000000.0,10000000.0,https://img.a.transfermarkt.technology/portrait/header/982855-1674921768.jpg?lm=1,https://www.transfermarkt.co.uk/reda-belahyane/profil/spieler/982855
1238,Gaetano Castrovilli,ITA,"MT,AT",27,9,1,148,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,5,10,6,0.0,0.0,0.0,0.0,0.0,0.05,0.44,0.49,0.05,0.49,gaetano castrovilli,Midfield,right,187.0,IT1,3500000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/303116-1730126731.jpg?lm=1,https://www.transfermarkt.co.uk/gaetano-castrovilli/profil/spieler/303116
1241,Mike Maignan,FRA,GB,29,37,37,"3,294",36.6,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,mike maignan,Goalkeeper,right,191.0,IT1,25000000.0,45000000.0,https://img.a.transfermarkt.technology/portrait/header/182906-1681459155.jpg?lm=1,https://www.transfermarkt.co.uk/mike-maignan/profil/spieler/182906
1242,Tijjani Reijnders,NED,MT,26,37,36,"3,128",34.8,10,4,14,10,0,0,2,1,7.5,7.5,3.5,11.0,111,230,121,0.29,0.12,0.4,0.29,0.4,0.22,0.1,0.32,0.22,0.32,tijjani reijnders,Midfield,right,185.0,IT1,50000000.0,50000000.0,https://img.a.transfermarkt.technology/portrait/header/460939-1676466080.jpg?lm=1,https://www.transfermarkt.co.uk/tijjani-reijnders/profil/spieler/460939
