Age,Min,Gls,Ast,npxG,xAG,Sh,SoT,Cmp,Att,KP,PPA,CrsPA,PrgP,Touches,PrgC,Succ,Dis,Rec,Tkl,Int,Blocks,Clr,Recov,Won,CrdY,CrdR,Fls,Fld,Off,Crs,value,days_missed,games_missed,height,Club_Rank,Country_Rank,Pos_FW,Pos_MF,foot_left,foot_right
27.0,3167.0,0.0,10.0,0.7,4.2,16.0,2.0,1595.0,2076.0,43.0,56.0,29.0,131.0,2523.0,118.0,38.0,20.0,1509.0,95.0,62.0,47.0,133.0,157.0,50.0,8.0,0.0,31.0,0.0,6.0,170.0,35000000.0,123.0,5.0,183.0,416,4,False,False,True,False
23.0,3167.0,2.0,3.0,1.6,2.8,18.0,3.0,837.0,1126.0,34.0,29.0,18.0,72.0,1403.0,88.0,21.0,15.0,748.0,50.0,14.0,35.0,75.0,121.0,30.0,7.0,1.0,26.0,0.0,4.0,118.0,8000000.0,80.0,8.0,180.0,119,8,False,False,False,True
22.0,3160.0,0.0,4.0,1.1,3.1,20.0,5.0,1718.0,1927.0,26.0,35.0,2.0,181.0,2343.0,70.0,37.0,26.0,1669.0,69.0,60.0,15.0,59.0,193.0,26.0,6.0,1.0,47.0,0.0,6.0,7.0,75000000.0,36.0,8.0,190.0,1,7,False,True,False,True
27.0,3154.0,2.0,5.0,1.2,3.5,16.0,5.0,1472.0,1815.0,33.0,35.0,11.0,149.0,2256.0,110.0,64.0,22.0,1322.0,70.0,66.0,62.0,125.0,174.0,22.0,1.0,0.0,25.0,2.0,4.0,76.0,24000000.0,118.0,36.0,183.0,55,4,False,False,False,True
21.0,3153.0,0.0,2.0,0.0,0.8,2.0,0.0,1245.0,1577.0,8.0,11.0,6.0,84.0,1992.0,35.0,17.0,7.0,981.0,111.0,46.0,25.0,145.0,132.0,36.0,11.0,0.0,52.0,1.0,3.0,57.0,15000000.0,57.0,14.0,183.0,80,3,False,False,False,True
21.0,3149.0,2.0,1.0,1.9,1.1,17.0,4.0,2338.0,2619.0,14.0,7.0,3.0,131.0,2904.0,14.0,6.0,8.0,2092.0,47.0,33.0,21.0,118.0,121.0,82.0,9.0,0.0,45.0,0.0,4.0,13.0,55000000.0,92.0,16.0,187.0,8,4,False,False,True,False
28.0,3143.0,2.0,0.0,1.7,0.9,22.0,5.0,1689.0,1965.0,14.0,17.0,4.0,139.0,2240.0,45.0,1.0,8.0,1609.0,42.0,35.0,19.0,103.0,99.0,60.0,8.0,0.0,49.0,1.0,2.0,33.0,15000000.0,19.0,5.0,190.0,27,9,False,False,False,True
26.0,3128.0,10.0,4.0,7.5,3.5,77.0,28.0,1355.0,1549.0,47.0,56.0,2.0,230.0,1863.0,111.0,36.0,32.0,1390.0,26.0,38.0,16.0,28.0,125.0,5.0,2.0,1.0,28.0,3.0,5.0,46.0,60000000.0,0.0,0.0,185.0,2,7,False,True,False,True
24.0,3127.0,1.0,0.0,1.8,0.7,15.0,3.0,1457.0,1694.0,8.0,4.0,1.0,84.0,2078.0,15.0,1.0,7.0,1166.0,45.0,32.0,12.0,156.0,113.0,57.0,5.0,0.0,50.0,1.0,0.0,6.0,7500000.0,97.0,18.0,190.0,95,7,False,False,False,True
23.0,3127.0,10.0,1.0,12.0,0.9,97.0,28.0,343.0,517.0,13.0,7.0,0.0,37.0,919.0,30.0,14.0,46.0,666.0,13.0,3.0,17.0,31.0,54.0,110.0,6.0,0.0,60.0,13.0,4.0,8.0,12000000.0,0.0,0.0,190.0,327,9,True,False,False,True
